Day;Line;Direction;Stop name;Stop id;Theorical arrival time;Arrival time delay;Departure time delay;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Victor Hugo;SEM:2217;68880;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2021;67770;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2021;68370;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2021;68970;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Verdun - Préfecture;SEM:2019;67920;0;6;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Verdun - Préfecture;SEM:2019;68520;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;67620;0;40;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;68220;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;68820;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;67672;0;40;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;68272;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;68873;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;67781;0;40;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;68381;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;68985;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;67860;0;40;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;68460;0;6;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;69060;0;6;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;67942;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;68528;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;69128;0;6;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;68018;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;68590;0;7;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;69190;0;7;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68100;0;11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68700;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;69300;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68220;0;11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68820;0;0;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;69420;0;0;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68322;0;12;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68922;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;69522;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;68448;0;12;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;69048;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;69648;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;67363;0;28;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;68563;0;18;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;69163;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;67440;0;27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;68640;0;11;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;69240;0;0;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;67528;0;28;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;68728;0;12;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;69328;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;67588;0;27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;68788;0;11;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;69388;0;0;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;67656;0;28;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;68856;0;18;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;69456;0;1;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;67740;0;27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;68940;0;11;;
