Day;Line;Direction;Stop name;Stop id;Theorical arrival time;Arrival time delay;Departure time delay
2022-08-12;SEM:15;Bois Francais;Domène, Coubertin;SEM:1771;1660332571;0;-20
2022-08-12;SEM:15;Les Arnauds;Domène, Coubertin;SEM:1771;1660334907;0;-16
2022-08-12;SEM:15;Bois Francais;Domène, Domène Mairie;SEM:1278;1660332600;0;-16
2022-08-12;SEM:15;Les Arnauds;Domène, Domène Mairie;SEM:1278;1660334940;0;-16
2022-08-12;SEM:15;Chenevieres;Domène, Le Prieuré;SEM:0523;1660331695;0;37
2022-08-12;SEM:15;Bois Francais;Domène, René Cassin;SEM:1081;1660332685;0;-15
2022-08-12;SEM:15;Les Arnauds;Domène, René Cassin;SEM:1081;1660335025;0;-15
2022-08-12;SEM:15;Bois Francais;Domène, Les Arnauds;SEM:0525;1660332780;0;-16
2022-08-12;SEM:15;Verdun Prefect.;Domène, L'Oratoire;SEM:0107;1660331712;0;25
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Mortes;SEM:0038;1660331766;0;25
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Les Rivets;SEM:0528;1660331811;0;25
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Le Bourg;SEM:0530;1660331895;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, La Perrière;SEM:0040;1660331965;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Japin;SEM:0042;1660332000;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, Champrondet;SEM:0043;1660332052;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, Pied de Gières;SEM:0044;1660332107;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, Edelweiss;SEM:0333;1660332252;0;25
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Sonnant;SEM:0215;1660332321;0;26
2022-08-12;SEM:15;Verdun Prefect.;Saint-Martin-d'Hères, Clinique Belledonne;SEM:0910;1660332660;0;7
2022-08-12;SEM:15;Verdun Prefect.;Saint-Martin-d'Hères, Neyrpic - Belledonne;SEM:0911;1660332742;0;7
2022-08-12;SEM:15;Verdun Prefect.;Saint-Martin-d'Hères, Péri - Brossolette;SEM:0912;1660332842;0;7
2022-08-12;SEM:15;Verdun Prefect.;Grenoble, Flandrin - Valmy;SEM:4025;1660331820;0;-16
2022-08-12;SEM:15;Verdun Prefect.;Grenoble, Bir Hakeim;SEM:0785;1660333196;0;7
2022-08-12;SEM:15;Chenevieres;Grenoble, Verdun - Préfecture;SEM:4027;1660332120;0;0
2022-08-12;SEM:15;Bois Francais;Saint-Martin-d'Hères, Porte du Grésivaudan;SEM:1864;1660331800;0;-42
2022-08-12;SEM:15;Bois Francais;Gières, Edelweiss;SEM:0334;1660331977;0;-20
2022-08-12;SEM:15;Les Arnauds;Gières, Edelweiss;SEM:0334;1660334326;0;-17
2022-08-12;SEM:15;Bois Francais;Gières, Pied de Gières;SEM:0045;1660332127;0;-21
2022-08-12;SEM:15;Les Arnauds;Gières, Pied de Gières;SEM:0045;1660334467;0;-17
2022-08-12;SEM:15;Bois Francais;Gières, Champrondet;SEM:0331;1660332180;0;-20
2022-08-12;SEM:15;Les Arnauds;Gières, Champrondet;SEM:0331;1660334520;0;-16
2022-08-12;SEM:15;Bois Francais;Murianette, La Perrière;SEM:0041;1660332286;0;-20
2022-08-12;SEM:15;Les Arnauds;Murianette, La Perrière;SEM:0041;1660334626;0;-17
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Vernes;SEM:1161;1660334528;0;0
2022-08-12;SEM:15;Verdun Prefect.;Domène, Le Prieuré;SEM:0522;1660334567;0;0
2022-08-12;SEM:15;Verdun Prefect.;Domène, Domène Mairie;SEM:0037;1660334640;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Domène, Coubertin;SEM:1770;1660334678;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Domène, L'Oratoire;SEM:0107;1660334712;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Mortes;SEM:0038;1660334766;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Les Rivets;SEM:0528;1660334811;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Murianette, La Briot;SEM:1532;1660334863;0;-10
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Le Bourg;SEM:0530;1660334895;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Gières, La Perrière;SEM:0040;1660334965;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Gières, Place de la République;SEM:1566;1660335180;0;-11
2022-08-12;SEM:15;Verdun Prefect.;Gières, Edelweiss;SEM:0333;1660335245;0;-10
2022-08-12;SEM:15;Verdun Prefect.;Grenoble, Bir Hakeim;SEM:0785;1660331996;0;-16
2022-08-12;SEM:15;Les Arnauds;Saint-Martin-d'Hères, Champ Roman;SEM:1277;1660334031;0;34
2022-08-12;SEM:15;Les Arnauds;Saint-Martin-d'Hères, Porte du Grésivaudan;SEM:1864;1660334169;0;33
2022-08-12;SEM:15;Les Arnauds;Gières, Place de la République;SEM:1565;1660334400;0;31
2022-08-12;SEM:15;Les Arnauds;Murianette, La Briot;SEM:1531;1660334724;0;32
2022-08-12;SEM:15;Les Arnauds;Domène, Coubertin;SEM:1771;1660334911;0;32
2022-08-12;SEM:15;Les Arnauds;Domène, Domène Mairie;SEM:1278;1660334940;0;36
2022-08-12;SEM:15;Les Arnauds;Saint-Martin-d'Hères, Péri - Brossolette;SEM:0537;1660333778;0;34
2022-08-12;SEM:15;Les Arnauds;Saint-Martin-d'Hères, Neyrpic - Belledonne;SEM:0536;1660333846;0;34
2022-08-12;SEM:15;Les Arnauds;Saint-Martin-d'Hères, Clinique Belledonne;SEM:0909;1660333920;0;34
2022-08-12;SEM:15;Les Arnauds;Gières, Le Sonnant;SEM:0533;1660334238;0;32
2022-08-12;SEM:15;Les Arnauds;Gières, Edelweiss;SEM:0334;1660334326;0;32
2022-08-12;SEM:15;Les Arnauds;Gières, Pied de Gières;SEM:0045;1660334467;0;31
2022-08-12;SEM:15;Les Arnauds;Gières, Champrondet;SEM:0331;1660334520;0;32
2022-08-12;SEM:15;Les Arnauds;Gières, Le Japin;SEM:1045;1660334580;0;31
2022-08-12;SEM:15;Les Arnauds;Murianette, La Perrière;SEM:0041;1660334626;0;32
2022-08-12;SEM:15;Les Arnauds;Murianette, Le Bourg;SEM:0039;1660334682;0;32
2022-08-12;SEM:15;Les Arnauds;Murianette, Les Rivets;SEM:0529;1660334773;0;32
2022-08-12;SEM:15;Les Arnauds;Domène, Les Mortes;SEM:0527;1660334820;0;31
2022-08-12;SEM:15;Les Arnauds;Domène, L'Oratoire;SEM:0526;1660334869;0;32
2022-08-12;SEM:15;Les Arnauds;Domène, René Cassin;SEM:1081;1660335025;0;37
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Sonnant;SEM:0215;1660335308;0;-10
2022-08-12;SEM:15;Verdun Prefect.;Domène, Chenevières;SEM:0521;1660334400;0;69
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Vernes;SEM:1161;1660334534;0;69
2022-08-12;SEM:15;Verdun Prefect.;Domène, Le Prieuré;SEM:0522;1660334575;0;68
2022-08-12;SEM:15;Verdun Prefect.;Domène, Domène Mairie;SEM:0037;1660334640;0;67
2022-08-12;SEM:15;Verdun Prefect.;Domène, Domène Mairie;SEM:0037;1660336440;0;0
2022-08-12;SEM:15;Verdun Prefect.;Domène, Coubertin;SEM:1770;1660334678;0;67
2022-08-12;SEM:15;Verdun Prefect.;Domène, Coubertin;SEM:1770;1660336478;0;0
2022-08-12;SEM:15;Verdun Prefect.;Domène, L'Oratoire;SEM:0107;1660334712;0;67
2022-08-12;SEM:15;Verdun Prefect.;Domène, L'Oratoire;SEM:0107;1660336512;0;0
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Mortes;SEM:0038;1660334766;0;67
2022-08-12;SEM:15;Verdun Prefect.;Domène, Les Mortes;SEM:0038;1660336566;0;0
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Les Rivets;SEM:0528;1660334811;0;67
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Les Rivets;SEM:0528;1660336611;0;0
2022-08-12;SEM:15;Verdun Prefect.;Murianette, La Briot;SEM:1532;1660334863;0;68
2022-08-12;SEM:15;Verdun Prefect.;Murianette, La Briot;SEM:1532;1660336663;0;1
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Le Bourg;SEM:0530;1660334895;0;67
2022-08-12;SEM:15;Verdun Prefect.;Murianette, Le Bourg;SEM:0530;1660336695;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, La Perrière;SEM:0040;1660334965;0;67
2022-08-12;SEM:15;Verdun Prefect.;Gières, La Perrière;SEM:0040;1660336765;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Japin;SEM:0042;1660335000;0;67
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Japin;SEM:0042;1660336800;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, Champrondet;SEM:0043;1660335052;0;67
2022-08-12;SEM:15;Verdun Prefect.;Gières, Champrondet;SEM:0043;1660336852;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, Pied de Gières;SEM:0044;1660335107;0;67
2022-08-12;SEM:15;Verdun Prefect.;Gières, Pied de Gières;SEM:0044;1660336907;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, Place de la République;SEM:1566;1660335180;0;67
2022-08-12;SEM:15;Verdun Prefect.;Gières, Place de la République;SEM:1566;1660336980;0;0
2022-08-12;SEM:15;Verdun Prefect.;Gières, Edelweiss;SEM:0333;1660335245;0;68
2022-08-12;SEM:15;Verdun Prefect.;Gières, Edelweiss;SEM:0333;1660337048;0;-2
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Sonnant;SEM:0215;1660335308;0;68
2022-08-12;SEM:15;Verdun Prefect.;Gières, Le Sonnant;SEM:0215;1660337115;0;-6
2022-08-12;SEM:15;Verdun Prefect.;Saint-Martin-d'Hères, Porte du Grésivaudan;SEM:1863;1660335388;0;68
2022-08-12;SEM:15;Verdun Prefect.;Saint-Martin-d'Hères, Porte du Grésivaudan;SEM:1863;1660337198;0;-9
